,bookId,title,author,description,genres,characters,places,language,publish_date,avg_rating
0,0,Harry Potter and the Half-Blood Prince,J.K. Rowling,"The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the,, looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses.,And yet . . .,As in all wars, life goes on. The Weasley twins expand their business. Sixth-yea,The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the,, looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses.,And yet . . .,As in all wars, life goes on. The Weasley twins expand their business. Sixth-year students learn to Apparate - and lose a few eyebrows in the process. Teenagers flirt and fight and fall in love. Classes are never straightforward, through Harry receives some extraordinary help from the mysterious Half-Blood Prince.,So it's the home front that takes center stage in the multilayered sixth installment of the story of Harry Potter. Here at Hogwarts, Harry will search for the full and complete story of the boy who became Lord Voldemort - and thereby find what may be his only vulnerability.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fantasy,Young Adult,Fiction,Fantasy,Magic,Childrens,Adventure,Audiobook,Childrens,Middle Grade,Classics,Science Fiction Fantasy","Draco Malfoy,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Lord Voldemort,Neville Longbottom,Fred Weasley,George Weasley,Ginny Weasley,Arthur Weasley,Molly Weasley,Cornelius Fudge,Peter Pettigrew,Fleur Delacour,Bellatrix Lestrange,Bill Weasley,Luna Lovegood,Nymphadora Tonks,Kreacher,Narcissa Malfoy,Horace Slughorn,Albus Dumbledore,Harry Potter,Hermione Granger,Madam Malkin,Romilda Vane","Hogwarts School of Witchcraft and Wizardry,England",English,September 16th 2006,4.57
1,1,Harry Potter and the Order of the Phoenix,"J.K. Rowling,Mary GrandPré","There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?,Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the loomi,There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?,Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.,As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.,His fate depends on them all.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fantasy,Young Adult,Fiction,Fantasy,Magic,Childrens,Adventure,Audiobook,Childrens,Middle Grade,Classics,Science Fiction Fantasy","Sirius Black,Draco Malfoy,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Ginny Weasley,Colin Creevey,Filius Flitwick,Gilderoy Lockhart,Lucius Malfoy,Pomona Sprout,Arthur Weasley,Molly Weasley,Cho Chang,Cornelius Fudge,Remus Lupin,Sybil Trelawney,Stan Shunpike,Bellatrix Lestrange,Alastor Moody,Rita Skeeter,Luna Lovegood,Nymphadora Tonks,Dolores Umbridge,Dobby,Kingsley Shacklebolt,Padma Patil,Parvati Patil,Kreacher,Dean Thomas,Seamus Finnigan,Albus Dumbledore,Harry Potter,Hermione Granger,Lavender Brown","Hogwarts School of Witchcraft and Wizardry,London, England",English,September 2004,4.5
2,2,Harry Potter and the Sorcerer's Stone,"J.K. Rowling,Mary GrandPré","Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft,Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.,After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.,Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.,Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Goodreads' Transgender Books page,Goodreads' Transgender Books page,Fantasy,Fiction,Young Adult,Fantasy,Magic,Childrens,Childrens,Middle Grade,Adventure,Classics,Audiobook,Science Fiction Fantasy","Draco Malfoy,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Quirinus Quirrell,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Filius Flitwick,Pomona Sprout,Molly Weasley,Poppy Pomfrey,Oliver Wood,Parvati Patil,Dean Thomas,James Potter,Lily Potter,Seamus Finnigan,Garrick Ollivander,Rolanda Hooch,Katie Bell,Albus Dumbledore,Dedalus Diggle,Harry Potter,Hermione Granger,Lavender Brown","London, England,Hogwarts School of Witchcraft and Wizardry,Hogwarts School of Witchcraft and Wizardry",English,November 1st 2003,4.48
3,3,Harry Potter and the Chamber of Secrets,J.K. Rowling,"The Dursleys were so mean and hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby who says that if Harry Potter returns to Hogwarts, disaster will strike.,And strike it does. For in Harry's second year at Ho,The Dursleys were so mean and hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby who says that if Harry Potter returns to Hogwarts, disaster will strike.,And strike it does. For in Harry's second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor, Gilderoy Lockhart, a spirit named Moaning Myrtle who haunts the girls' bathroom, and the unwanted attentions of Ron Weasley's younger sister, Ginny. But each of these seem minor annoyances when the real trouble begins, and someone, or something, starts turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possibly be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects: Harry Potter himself?","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fantasy,Young Adult,Fiction,Fantasy,Magic,Childrens,Childrens,Middle Grade,Adventure,Audiobook,Classics,Science Fiction Fantasy","Draco Malfoy,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Ginny Weasley,Colin Creevey,Filius Flitwick,Gilderoy Lockhart,Lucius Malfoy,Pomona Sprout,Arthur Weasley,Molly Weasley,Cornelius Fudge,Poppy Pomfrey,Oliver Wood,Dobby,Parvati Patil,Dean Thomas,James Potter,Seamus Finnigan,Rolanda Hooch,Katie Bell,Albus Dumbledore,Harry Potter,Hermione Granger","Hogwarts School of Witchcraft and Wizardry,Hogwarts School of Witchcraft and Wizardry,Hogwarts School of Witchcraft and Wizardry,Hogwarts School of Witchcraft and Wizardry",English,November 1st 2003,4.43
4,4,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling,Mary GrandPré","For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort.,Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azk,For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort.,Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard Black muttering in his sleep, \He's at Hogwarts . . . he's at Hogwarts.\,Harry Potter isn't safe, not even within the walls of his magical school, surrounded by his friends. Because on top of it all, there may well be a traitor in their midst.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fantasy,Young Adult,Fiction,Fantasy,Magic,Childrens,Childrens,Middle Grade,Adventure,Audiobook,Classics,Science Fiction Fantasy","Sirius Black,Draco Malfoy,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Rubeus Hagrid,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Ginny Weasley,Colin Creevey,Filius Flitwick,Pomona Sprout,Arthur Weasley,Molly Weasley,Cho Chang,Marjorie Dursley,Cornelius Fudge,Remus Lupin,Sybil Trelawney,Peter Pettigrew,Poppy Pomfrey,Stan Shunpike,Oliver Wood,Cedric Diggory,Dean Thomas,Seamus Finnigan,Rolanda Hooch,Katie Bell,Ernie Prang,Albus Dumbledore,Harry Potter,Hermione Granger","Hogwarts School of Witchcraft and Wizardry,London, England",English,May 1st 2004,4.57
5,5,Harry Potter and the Goblet of Fire,"J.K. Rowling,Mary GrandPré","Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush and maybe do more than dream. He wants to find out about the mysterious event that's supposed to take place at Hogwa,Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush and maybe do more than dream. He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for hundreds of years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards.,And in his case, different can be deadly.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fantasy,Young Adult,Fiction,Fantasy,Magic,Childrens,Adventure,Childrens,Middle Grade,Audiobook,Classics,Science Fiction Fantasy","Sirius Black,Draco Malfoy,Ron Weasley,Petunia Dursley,Vernon Dursley,Dudley Dursley,Severus Snape,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Ginny Weasley,Arthur Weasley,Molly Weasley,Cho Chang,Cornelius Fudge,Sybil Trelawney,Ludo Bagman,Bartemius Crouch,Bartemius Crouch, Jr.,Fleur Delacour,Cedric Diggory,Viktor Krum,Bellatrix Lestrange,Alastor Moody,Rita Skeeter,Charlie Weasley,Bill Weasley,Albus Dumbledore,Harry Potter,Hermione Granger","London, England,Hogwarts School of Witchcraft and Wizardry",English,September 28th 2002,4.56
6,6,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings The Fellowship of the Ring, The Two Towers, and The Return of the King.,In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in,This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings The Fellowship of the Ring, The Two Towers, and The Return of the King.,In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon.,The Lord of the Rings tells of the great quest undertaken by Frodo Baggins and the Fellowship of the Ring: Gandalf the wizard; the hobbits Merry, Pippin, and Sam; Gimli the dwarf; Legolas the elf; Boromir of Gondor; and a tall, mysterious stranger called Strider. J.R.R. Tolkien's three volume masterpiece is at once a classic myth and a modern fairy tale—a story of high and heroic adventure set in the unforgettable landscape of Middle-earth","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fantasy,Fiction,Classics,Adventure,Science Fiction Fantasy,Fantasy,Epic Fantasy,Fantasy,High Fantasy,Young Adult,Literature,Fantasy,Magic","Frodo Baggins,Gandalf,Bilbo Baggins,Gollum",Middle-earth,English,September 25th 2012,4.6
7,7,The Lord of the Rings,J.R.R. Tolkien,"The Fellowship of the Ring, part one of J.R.R. Tolkien’s epic masterpiece, first reached these shores on October 21, 1954, arriving, as C. S. Lewis proclaimed, “like lightning from a clear sky.” Fifty years and nearly one hundred million American readers later comes a beautiful new one-volume collector’s edition befitting the stature of this crown jewel of our list. With a,The Fellowship of the Ring, part one of J.R.R. Tolkien’s epic masterpiece, first reached these shores on October 21, 1954, arriving, as C. S. Lewis proclaimed, “like lightning from a clear sky.” Fifty years and nearly one hundred million American readers later comes a beautiful new one-volume collector’s edition befitting the stature of this crown jewel of our list. With a text fully corrected under the supervision of Christopher Tolkien to meet the author’s exacting wishes, two large-format fold-out maps, a ribbon placemarker, gilded page edges, a color insert depicting Tolkien's own paintings of the Book of Mazarbul and exceptionally elegant and sturdy overall packaging housed within an attractive slipcase, this edition is the finest we’ve ever produced.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fantasy,Classics,Fiction,Adventure,Science Fiction Fantasy,Fantasy,Epic Fantasy,Literature,Fantasy,High Fantasy,Young Adult,Novels","Frodo Baggins,Meriadoc Brandybuck,Peregrin Took,Gandalf,Aragorn,Gimli,Boromir,Bilbo Baggins,Treebeard,Saruman,Éowyn,Éomer,Elrond Half-elven,Arwen Undómiel,Galadriel,Faramir,Gollum,Legolas,Sam Gamgee",Middle-earth,English,October 21st 2004,4.5
8,8,The Fellowship of the Ring,"J.R.R. Tolkien,Francis Ledoux","Alternate Cover Edition ISBN 0618260269 copyright page ISBN is 0618346252 - different from back cover,One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind them,In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could,Alternate Cover Edition ISBN 0618260269 copyright page ISBN is 0618346252 - different from back cover,One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind them,In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.,In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.,--back cover","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fantasy,Classics,Fiction,Adventure,Science Fiction Fantasy,Fantasy,High Fantasy,Fantasy,Epic Fantasy,Young Adult,Novels,Fantasy,Magic","Frodo Baggins,Meriadoc Brandybuck,Peregrin Took,Gandalf,Aragorn,Gimli,Boromir,Bilbo Baggins,Tom Bombadil,Rúmil,Saruman,Elrond Half-elven,Arwen Undómiel,Galadriel,Gollum,Goldberry,Legolas,Sam Gamgee",Middle-earth,English,September 5th 2003,4.37
9,9,The Lord of the Rings Box Set,J.R.R. Tolkien,"A three-volume boxed set edition of J. R. R. Tolkien's epic The Lord of the Rings, featuring film act on the cover. The set includes The Fellowship of the Ring, The Two Towers, and The Return of the King.,In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule a,A three-volume boxed set edition of J. R. R. Tolkien's epic The Lord of the Rings, featuring film act on the cover. The set includes The Fellowship of the Ring, The Two Towers, and The Return of the King.,In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth still it remained lost to him. After many ages it fell, by chance, into the hands of the hobbit, Bilbo Baggins.,From his fastness in the Dark Tower of Mordor, Sauron's power spread far and wide. He gathered all the Great Rings to him, but ever he searched far and wide for the One Ring that would complete his dominion.,On his eleventy-first birthday, Bilbo disappeared bequeathing to his young cousin, Frodo, the Ruling Ring, and a perilous quest: to journey across Middle-earth, deep into the shadow of the Dark Lord and destroy the Ring by casting it into the Cracks of Doom.,The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the wizard, Merry, Pippin and Sam, Gimli the Dwarf, Legolas the Elf, Boromir of Gondor, and a tall, mysterious stranger called Strider.,Saga of a group heroes who set forth to save their world from evil. A brotherhood of 'hobbits,' elves, dwarves, and people is formed to combat evil forces. Tolkien drew on his extensive knowledge of folklore and the classics to create the worlds and creatures described in the trilogy, which includes The Fellowship of the Ring, The Two Towers, and The Return of the King.","Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Art,Biography,Business,Children's,Christian,Classics,Comics,Cookbooks,Ebooks,Fantasy,Fiction,Graphic Novels,Historical Fiction,History,Horror,Memoir,Music,Mystery,Nonfiction,Poetry,Psychology,Romance,Science,Science Fiction,Self Help,Sports,Thriller,Travel,Young Adult,Fantasy,Classics,Fiction,Adventure,Science Fiction Fantasy,Fantasy,Epic Fantasy,Literature,Fantasy,High Fantasy,Young Adult,Novels","Frodo Baggins,Meriadoc Brandybuck,Peregrin Took,Gandalf,Aragorn,Gimli,Boromir,Bilbo Baggins,Treebeard,Saruman,Éowyn,Éomer,Elrond Half-elven,Arwen Undómiel,Galadriel,Faramir,Gollum,Legolas,Sam Gamgee",Middle-earth,English,September 19th 2001,4.5
